u3	y3
0.01000	5.86271	
0.01000	14.91880	
0.01000	54.57700	
0.01000	53.32082	
0.01000	48.22875	
0.01000	46.75042	
0.01000	76.45917	
0.01000	79.27910	
0.01000	74.10193	
0.01000	93.66397	
0.01000	98.79357	
0.01000	52.45296	
0.01000	51.77545	
0.01000	26.42768	
0.01000	19.03560	
0.01000	-0.92742	
0.01000	32.29791	
0.01000	58.48192	
0.01000	29.42089	
0.01000	49.53510	
0.01000	57.92596	
0.01000	59.24214	
0.01000	33.72742	
0.01000	45.87564	
0.01000	49.57311	
0.01000	35.40290	
0.01000	61.27858	
0.01000	45.78936	
0.01000	51.62791	
0.01000	39.08814	
0.01000	15.17306	
0.01000	15.42242	
0.01000	16.61648	
0.01000	30.38416	
0.01000	-8.15651	
0.01000	-7.40804	
0.01000	-12.74602	
0.01000	-28.35468	
0.01000	-31.42494	
0.01000	-26.47322	
0.01000	-29.57381	
0.01000	-4.91449	
0.01000	4.52831	
0.01000	-31.81185	
0.01000	-42.20569	
0.01000	-46.27585	
0.01000	-55.77648	
0.01000	-58.18382	
0.01000	-54.03636	
0.01000	-50.86816	
0.01000	-67.57401	
0.01000	-51.57629	
0.01000	-32.66622	
0.01000	-76.79186	
0.01000	-51.25141	
0.01000	-28.87346	
0.01000	-34.02307	
0.01000	-27.65947	
0.01000	-51.69020	
0.01000	-61.19607	
0.01000	-105.90610	
0.01000	-69.45014	
0.01000	-79.42660	
0.01000	-71.89262	
0.01000	-82.61298	
0.01000	-88.56507	
0.01000	-87.40654	
0.01000	-80.42835	
0.01000	-64.93051	
0.01000	-39.09034	
0.01000	-18.79732	
0.01000	-16.74069	
0.01000	-5.93553	
0.01000	20.27439	
0.01000	9.76866	
0.01000	29.17982	
0.01000	69.71973	
0.01000	116.29344	
0.01000	135.94101	
0.01000	137.75097	
0.01000	151.64910	
0.01000	114.60370	
0.01000	128.97626	
0.01000	159.79627	
0.01000	159.49348	
0.01000	152.01223	
0.01000	137.68906	
0.01000	134.67135	
0.01000	87.43410	
0.01000	73.96105	
0.01000	78.60531	
0.01000	87.65403	
0.01000	122.78246	
0.01000	125.40855	
0.01000	144.68292	
0.01000	170.96788	
0.01000	197.24509	
0.01000	184.91645	
0.01000	239.26875	
0.01000	255.31888	
0.01000	244.16438	
0.01000	262.39126	
0.01000	265.17030	
0.01000	265.01717	
0.01000	291.97160	
0.01000	284.35126	
0.01000	302.55466	
0.01000	286.05246	
0.01000	277.58123	
0.01000	296.36913	
0.01000	265.54601	
0.01000	287.36373	
0.01000	298.16434	
0.01000	261.72586	
0.01000	199.77321	
0.01000	197.76157	
0.01000	162.92627	
0.01000	146.59066	
0.01000	150.35815	
0.01000	166.45349	
0.01000	164.45699	
0.01000	151.44814	
0.01000	154.29000	
0.01000	126.95360	
0.01000	125.22970	
0.01000	133.47126	
0.01000	142.17814	
0.01000	164.88763	
0.01000	158.36676	
0.01000	220.73530	
0.01000	193.67726	
0.01000	187.21116	
0.01000	194.33079	
0.01000	177.27419	
0.01000	193.41556	
0.01000	180.51881	
0.01000	236.74845	
0.01000	210.12426	
0.01000	239.28607	
0.01000	230.02265	
0.01000	237.96881	
0.01000	238.36919	
0.01000	200.53750	
0.01000	209.98481	
0.01000	198.89909	
0.01000	176.17391	
0.01000	196.20493	
0.01000	172.77182	
0.01000	194.32316	
0.01000	194.81172	
0.01000	210.87507	
0.01000	206.55704	
0.01000	220.65053	
0.01000	231.40996	
0.01000	232.46444	
0.01000	222.21608	
0.01000	202.01403	
0.01000	166.10327	
0.01000	163.00486	
0.01000	176.73273	
0.01000	203.93753	
0.01000	173.31037	
0.01000	154.90254	
0.01000	146.10316	
0.01000	185.31725	
0.01000	143.35972	
0.01000	138.04091	
0.01000	158.27122	
0.01000	154.14031	
0.01000	146.98245	
0.01000	137.14623	
0.01000	176.33346	
0.01000	171.62878	
0.01000	155.79868	
0.01000	170.49040	
0.01000	157.50189	
0.01000	131.40175	
