u2	y2
0.01000	2.87081	
0.01000	-170.60625	
0.01000	-213.32301	
0.01000	-242.94303	
0.01000	-52.41317	
0.01000	128.44761	
0.01000	113.44599	
0.01000	26.35734	
0.01000	-92.18598	
0.01000	-13.17874	
0.01000	-130.01375	
0.01000	-99.46663	
0.01000	-177.80358	
0.01000	-222.65926	
0.01000	-244.67514	
0.01000	-175.55421	
0.01000	-54.44720	
0.01000	-120.74382	
0.01000	-34.15386	
0.01000	109.97649	
0.01000	26.38234	
0.01000	94.15361	
0.01000	113.71664	
0.01000	104.44638	
0.01000	-23.66118	
0.01000	-37.49940	
0.01000	30.99136	
0.01000	-7.23677	
0.01000	-70.51879	
0.01000	-99.35127	
0.01000	-215.91052	
0.01000	-50.07828	
0.01000	-101.53410	
0.01000	-66.29249	
0.01000	-156.73448	
0.01000	-168.45823	
0.01000	-23.56421	
0.01000	8.80459	
0.01000	-35.19999	
0.01000	-21.22885	
0.01000	54.43777	
0.01000	108.06591	
0.01000	-123.18196	
0.01000	-193.06111	
0.01000	-190.29050	
0.01000	-403.04936	
0.01000	-473.41888	
0.01000	-414.65412	
0.01000	-366.96182	
0.01000	-397.52639	
0.01000	-299.73466	
0.01000	-275.84530	
0.01000	-102.01221	
0.01000	-154.13017	
0.01000	-87.11655	
0.01000	-36.66347	
0.01000	10.40334	
0.01000	-196.28287	
0.01000	-270.36070	
0.01000	-240.16633	
0.01000	-13.42078	
0.01000	-100.52619	
0.01000	30.02115	
0.01000	-0.97763	
0.01000	91.59614	
0.01000	160.87886	
0.01000	164.71263	
0.01000	115.13500	
0.01000	218.40650	
0.01000	300.36433	
0.01000	259.20892	
0.01000	118.59392	
0.01000	34.07327	
0.01000	22.67542	
0.01000	0.92789	
0.01000	156.85014	
0.01000	39.71134	
0.01000	0.85142	
0.01000	-44.00589	
0.01000	55.19356	
0.01000	23.71094	
0.01000	-77.72555	
0.01000	-25.06791	
0.01000	69.36292	
0.01000	60.62608	
0.01000	-8.89210	
0.01000	105.98715	
0.01000	-83.45853	
0.01000	2.26903	
0.01000	-68.94040	
0.01000	64.52648	
0.01000	-131.20480	
0.01000	-122.72742	
0.01000	-24.43085	
0.01000	-54.66144	
0.01000	-91.87329	
0.01000	-229.06289	
0.01000	-270.87265	
0.01000	-452.37708	
0.01000	-500.44883	
0.01000	-484.35577	
0.01000	-471.30218	
0.01000	-259.40450	
0.01000	-412.74774	
0.01000	-371.96971	
0.01000	-343.52098	
0.01000	-342.15830	
0.01000	-412.07483	
0.01000	-243.03890	
0.01000	-274.94650	
0.01000	-200.53549	
0.01000	-74.49958	
0.01000	-14.98623	
0.01000	-25.38542	
0.01000	91.30169	
0.01000	27.33622	
0.01000	98.01122	
0.01000	94.84546	
0.01000	155.56433	
0.01000	327.78385	
0.01000	355.95392	
0.01000	467.42039	
0.01000	625.08151	
0.01000	728.97961	
0.01000	659.02943	
0.01000	570.00187	
0.01000	688.52997	
0.01000	746.90322	
0.01000	806.23880	
0.01000	920.14557	
0.01000	757.77465	
0.01000	610.29534	
0.01000	635.58694	
0.01000	684.85541	
0.01000	731.96639	
0.01000	776.05176	
0.01000	640.22131	
0.01000	622.64012	
0.01000	508.36660	
0.01000	479.46144	
0.01000	491.74213	
0.01000	567.90780	
0.01000	577.44737	
0.01000	581.17173	
0.01000	700.73742	
0.01000	693.14067	
0.01000	730.15587	
0.01000	600.53342	
0.01000	693.12388	
0.01000	786.83818	
0.01000	648.55713	
0.01000	705.71687	
0.01000	631.43364	
0.01000	537.35797	
0.01000	523.27315	
0.01000	471.50784	
0.01000	597.38820	
0.01000	683.69528	
0.01000	857.00611	
0.01000	751.07104	
0.01000	640.81990	
0.01000	574.73682	
0.01000	600.88694	
0.01000	485.06667	
0.01000	430.26838	
0.01000	347.77667	
0.01000	200.39839	
0.01000	373.93920	
0.01000	309.74808	
0.01000	437.98392	
0.01000	517.43871	
0.01000	776.84089	
0.01000	702.93248	
0.01000	799.04409	
0.01000	697.00650	
0.01000	671.33216	
0.01000	690.55338	
0.01000	759.66744	
0.01000	515.43148	
0.01000	581.80931	
0.01000	452.33169	
0.01000	312.73401	
0.01000	281.99157	
0.01000	379.29266	
0.01000	141.15021	
0.01000	134.33063	
0.01000	-33.27787	
0.01000	-48.51048	
0.01000	-5.99814	
0.01000	20.93620	
0.01000	27.84992	
0.01000	-164.47735	
0.01000	35.58948	
0.01000	162.94109	
0.01000	114.89910	
0.01000	126.95158	
0.01000	65.05601	
0.01000	209.08120	
0.01000	114.46477	
0.01000	44.13024	
0.01000	2.75826	
0.01000	-91.05238	
0.01000	53.72942	
0.01000	37.34115	
0.01000	69.35398	
0.01000	87.12614	
0.01000	162.74318	
0.01000	262.74374	
0.01000	159.82294	
0.01000	46.73795	
0.01000	78.14971	
0.01000	-6.61710	
0.01000	-223.26009	
0.01000	-142.68565	
0.01000	99.44336	
0.01000	-28.36158	
0.01000	-93.16356	
0.01000	-150.91003	
0.01000	-102.03608	
0.01000	-41.17334	
0.01000	-10.59273	
0.01000	-83.84478	
0.01000	-37.65491	
0.01000	54.29574	
0.01000	28.10020	
0.01000	186.54566	
0.01000	68.51328	
0.01000	68.04988	
0.01000	225.53443	
0.01000	242.20723	
0.01000	151.43175	
0.01000	260.02966	
0.01000	313.92032	
0.01000	439.44957	
0.01000	511.11724	
0.01000	564.63991	
0.01000	700.63386	
0.01000	736.33950	
0.01000	736.14640	
0.01000	649.68933	
0.01000	562.88620	
0.01000	477.73978	
0.01000	508.09620	
0.01000	634.49158	
0.01000	699.91260	
0.01000	713.84506	
0.01000	598.81979	
0.01000	622.49004	
0.01000	563.58521	
0.01000	485.07634	
0.01000	537.29313	
0.01000	604.13589	
0.01000	603.86288	
0.01000	598.26899	
0.01000	576.11773	
0.01000	532.30657	
0.01000	504.59175	
0.01000	389.72851	
0.01000	227.12844	
0.01000	257.84229	
0.01000	248.53690	
0.01000	203.96335	
0.01000	154.41594	
0.01000	189.74302	
0.01000	81.19599	
0.01000	122.75765	
0.01000	119.37780	
0.01000	50.11279	
0.01000	100.23595	
0.01000	53.59259	
0.01000	65.34464	
0.01000	-71.70587	
0.01000	-13.04373	
0.01000	-122.99747	
0.01000	-87.76799	
0.01000	-170.86141	
0.01000	-54.73079	
0.01000	-76.58478	
0.01000	-100.99076	
0.01000	-25.77907	
0.01000	-125.04519	
0.01000	-178.36901	
0.01000	-154.56932	
0.01000	-262.86205	
0.01000	-273.66687	
0.01000	-218.50012	
0.01000	-211.79099	
0.01000	-228.74304	
0.01000	-186.12575	
0.01000	-269.13488	
0.01000	-461.94835	
0.01000	-403.69415	
0.01000	-397.52762	
0.01000	-192.81403	
0.01000	-338.09266	
0.01000	-284.21790	
0.01000	-370.08308	
0.01000	-275.13318	
0.01000	-52.65976	
0.01000	66.76885	
0.01000	64.88129	
0.01000	27.22432	
0.01000	-21.74517	
0.01000	-34.35052	
0.01000	-55.32744	
0.01000	-167.31537	
0.01000	-253.18520	
0.01000	-240.64811	
0.01000	-396.97885	
0.01000	-440.29775	
0.01000	-524.22294	
0.01000	-524.53770	
0.01000	-368.17479	
0.01000	-339.32579	
0.01000	-266.38655	
0.01000	-269.43377	
0.01000	-336.32156	
0.01000	-412.19488	
0.01000	-307.25779	
0.01000	-433.49909	
0.01000	-354.37194	
0.01000	-362.81188	
0.01000	-565.15016	
0.01000	-692.01319	
0.01000	-872.77596	
0.01000	-1031.34207	
0.01000	-1174.97260	
0.01000	-1233.75479	
0.01000	-1289.07215	
0.01000	-1318.09122	
0.01000	-1604.01474	
0.01000	-1555.27932	
0.01000	-1513.23666	
-0.01000	-1417.90782	
-0.01000	-1355.07328	
-0.01000	-1329.85803	
-0.01000	-1386.66259	
-0.01000	-1286.85857	
-0.01000	-1331.62186	
-0.01000	-1346.93461	
-0.01000	-1359.13585	
-0.01000	-995.72900	
-0.01000	-1014.77347	
-0.01000	-860.12666	
-0.01000	-928.08834	
-0.01000	-961.42382	
-0.01000	-993.68249	
-0.01000	-899.11053	
-0.01000	-940.70232	
-0.01000	-952.77112	
-0.01000	-848.50856	
-0.01000	-1072.97997	
-0.01000	-1128.97380	
-0.01000	-1194.31662	
-0.01000	-1402.44749	
-0.01000	-1377.43555	
-0.01000	-1475.13898	
-0.01000	-1545.07982	
-0.01000	-1634.17860	
-0.01000	-1573.36329	
-0.01000	-1352.00832	
-0.01000	-1389.22282	
-0.01000	-1553.84714	
-0.01000	-1435.51848	
-0.01000	-1532.84401	
-0.01000	-1501.44386	
-0.01000	-1407.05924	
-0.01000	-1434.64216	
-0.01000	-1387.37258	
-0.01000	-1374.54171	
-0.01000	-1523.71531	
-0.01000	-1702.06705	
-0.01000	-1599.85395	
-0.01000	-1613.03967	
-0.01000	-1522.73645	
-0.01000	-1491.00211	
-0.01000	-1457.72049	
-0.01000	-1519.00323	
-0.01000	-1533.03913	
-0.01000	-1613.00194	
-0.01000	-1713.77070	
-0.01000	-1766.91660	
-0.01000	-1828.42553	
-0.01000	-1702.26948	
-0.01000	-1533.33589	
-0.01000	-1383.76637	
-0.01000	-1262.04281	
-0.01000	-1301.29687	
-0.01000	-1258.74063	
-0.01000	-1069.53772	
-0.01000	-1013.40546	
-0.01000	-965.22673	
-0.01000	-629.34310	
-0.01000	-457.98155	
-0.01000	-243.04811	
-0.01000	-274.74645	
-0.01000	-307.88335	
-0.01000	-245.85381	
-0.01000	-377.50772	
-0.01000	-415.67292	
-0.01000	-357.86839	
-0.01000	-446.43884	
-0.01000	-381.93768	
-0.01000	-404.58874	
-0.01000	-369.29051	
-0.01000	-324.30154	
-0.01000	-168.23499	
-0.01000	-159.13875	
-0.01000	-224.57746	
-0.01000	-222.61237	
-0.01000	-98.55473	
-0.01000	-24.21172	
-0.01000	-82.33271	
-0.01000	-98.23323	
-0.01000	-71.62506	
-0.01000	-78.45718	
-0.01000	20.51188	
-0.01000	13.73970	
-0.01000	-100.54773	
-0.01000	-128.26140	
-0.01000	-206.74323	
-0.01000	-185.71651	
-0.01000	-196.32874	
-0.01000	-283.61594	
-0.01000	-417.72339	
-0.01000	-471.62178	
-0.01000	-544.38109	
-0.01000	-466.40723	
-0.01000	-433.85854	
-0.01000	-348.60213	
-0.01000	-310.49553	
-0.01000	-430.15160	
-0.01000	-664.09783	
-0.01000	-725.98213	
-0.01000	-761.50323	
-0.01000	-735.31585	
-0.01000	-590.09500	
-0.01000	-420.66559	
-0.01000	-353.28630	
-0.01000	-352.68634	
-0.01000	-314.97885	
-0.01000	-344.99171	
-0.01000	-267.51442	
-0.01000	-211.70544	
-0.01000	-53.37370	
-0.01000	73.85524	
-0.01000	189.27042	
-0.01000	421.47542	
-0.01000	439.18899	
-0.01000	323.15232	
-0.01000	359.23531	
-0.01000	374.65837	
-0.01000	414.96646	
-0.01000	306.07738	
-0.01000	196.71886	
-0.01000	65.53607	
-0.01000	29.17953	
-0.01000	-8.62593	
-0.01000	-30.77661	
-0.01000	-4.26493	
-0.01000	233.50087	
-0.01000	94.00505	
-0.01000	198.23579	
-0.01000	247.78394	
-0.01000	79.40657	
-0.01000	122.83421	
-0.01000	25.23987	
-0.01000	50.20842	
-0.01000	52.68493	
-0.01000	255.38897	
-0.01000	249.09044	
-0.01000	191.83829	
-0.01000	67.11244	
-0.01000	24.97744	
-0.01000	-27.09691	
-0.01000	36.25886	
-0.01000	272.67353	
-0.01000	275.06032	
-0.01000	335.34993	
-0.01000	330.26602	
-0.01000	418.18160	
-0.01000	304.14941	
-0.01000	255.42189	
-0.01000	326.92236	
-0.01000	301.89121	
-0.01000	346.29795	
-0.01000	454.44075	
-0.01000	585.22129	
-0.01000	444.52077	
-0.01000	354.71793	
-0.01000	283.75000	
-0.01000	402.23965	
-0.01000	254.40402	
-0.01000	372.26603	
-0.01000	196.97694	
-0.01000	182.52472	
-0.01000	220.44771	
-0.01000	19.58034	
-0.01000	223.99955	
-0.01000	92.19733	
-0.01000	46.38780	
-0.01000	208.69713	
-0.01000	77.89238	
-0.01000	147.95316	
-0.01000	156.53696	
-0.01000	-5.56681	
-0.01000	-206.99948	
-0.01000	-153.65551	
-0.01000	-151.24771	
-0.01000	-154.60429	
-0.01000	-171.26643	
-0.01000	-208.78956	
-0.01000	-101.27598	
-0.01000	-244.93747	
-0.01000	-178.50051	
-0.01000	-217.85801	
-0.01000	-150.82504	
-0.01000	-242.87528	
-0.01000	-258.88566	
-0.01000	-251.79093	
-0.01000	-356.09192	
-0.01000	-350.38906	
-0.01000	-312.71180	
-0.01000	-296.22886	
-0.01000	-277.38440	
-0.01000	-284.28337	
-0.01000	-394.68286	
-0.01000	-322.02854	
-0.01000	-204.11131	
-0.01000	-146.67397	
-0.01000	-161.85528	
-0.01000	-103.39125	
-0.01000	-119.40209	
-0.01000	-27.68723	
-0.01000	109.94974	
-0.01000	228.66198	
-0.01000	169.29060	
-0.01000	78.05961	
-0.01000	103.62563	
-0.01000	-21.91380	
-0.01000	-76.06251	
-0.01000	-57.38790	
-0.01000	37.34593	
-0.01000	48.73468	
-0.01000	-89.83842	
-0.01000	32.58857	
